Name,mechanism,model,x_eps,forward_correction,dataset,y_steps,y_eps,x_steps,feature,test/acc_mean,test/acc_ci
d38a4c50-563e-11ec-8bea-70b5e8d1197c,mbm,sage,0.01,True,cora,8,inf,4,raw,65.9231905465288,1.8545051698670605
d38c082e-563e-11ec-bd4b-70b5e8d1197c,mbm,sage,0.01,True,cora,2,1.0,4,raw,60.989660265878875,1.7954209748892218
d38c87d6-563e-11ec-b305-70b5e8d1197c,mbm,sage,0.01,True,cora,8,2.0,0,raw,46.27769571639586,2.1493722304283587
d38c9f8c-563e-11ec-82c1-70b5e8d1197c,mbm,sage,0.01,True,cora,4,3.0,16,raw,69.30576070901034,1.8762924667651504
d38d175a-563e-11ec-83c5-70b5e8d1197c,mbm,sage,0.01,True,cora,4,0.5,8,raw,45.99704579025111,5.207348596750371
d38d1764-563e-11ec-a5cd-70b5e8d1197c,mbm,sage,0.01,True,cora,16,inf,0,raw,42.4519940915805,2.068316100443134
d38d496e-563e-11ec-905e-70b5e8d1197c,mbm,sage,0.01,True,cora,16,3.0,2,raw,60.753323485967506,1.832348596750375
d38d84e2-563e-11ec-885d-70b5e8d1197c,mbm,sage,0.01,True,cora,2,inf,2,raw,65.36189069423929,2.718426883308723
d38dae04-563e-11ec-a111-70b5e8d1197c,mbm,sage,0.01,True,cora,2,inf,8,raw,69.67503692762186,1.632385524372225
d38e2d98-563e-11ec-8690-70b5e8d1197c,mbm,sage,0.01,True,cora,4,3.0,8,raw,68.65583456425406,2.223596750369275
d38eab9c-563e-11ec-bbf1-70b5e8d1197c,mbm,sage,0.01,True,cora,2,1.0,0,raw,44.29837518463811,2.651587887740032
d38fd1ac-563e-11ec-b3fb-70b5e8d1197c,mbm,sage,0.01,True,cora,4,1.0,2,raw,60.23633677991137,2.6451255539143332
d38fd5e4-563e-11ec-a581-70b5e8d1197c,mbm,sage,0.01,True,cora,16,1.0,16,raw,58.36041358936485,3.1395864106351468
d3900cf8-563e-11ec-9c4a-70b5e8d1197c,mbm,sage,0.01,True,cora,0,3.0,2,raw,53.51550960118168,2.119830132939434
d3900d02-563e-11ec-bbd8-70b5e8d1197c,mbm,sage,0.01,True,cora,16,2.0,16,raw,63.146233382570166,2.969350073855246
d392a63e-563e-11ec-99cf-70b5e8d1197c,mbm,sage,0.01,True,cora,2,2.0,16,raw,67.57754800590843,2.3491506646971914
d3acd428-563e-11ec-877f-70b5e8d1197c,mbm,sage,0.01,True,cora,2,inf,0,raw,45.67208271787297,2.0757016248153626
d3c81ac6-563e-11ec-addd-70b5e8d1197c,mbm,sage,0.01,True,cora,8,3.0,0,raw,50.915805022156576,2.0391432791728157
d6525996-563e-11ec-874a-70b5e8d11bce,mbm,sage,0.01,True,cora,16,0.5,2,raw,47.93205317577548,4.522710487444609
d6525996-563e-11ec-8c65-70b5e8d11bce,mbm,sage,0.01,True,cora,2,3.0,0,raw,51.13737075332349,1.949963072378143
d6525996-563e-11ec-9e7a-70b5e8d11bce,mbm,sage,0.01,True,cora,2,1.0,2,raw,55.55391432791729,2.3421344165435833
d6525996-563e-11ec-b5b4-70b5e8d11bce,mbm,sage,0.01,True,cora,0,3.0,4,raw,57.14918759231906,3.737629246676512
d6525a18-563e-11ec-805c-70b5e8d11bce,mbm,sage,0.01,True,cora,16,0.5,4,raw,49.05465288035451,4.293020679468238
d6525a18-563e-11ec-9438-70b5e8d11bce,mbm,sage,0.01,True,cora,4,2.0,8,raw,66.33677991137371,3.5465288035450513
d6525a7c-563e-11ec-b751-70b5e8d11bce,mbm,sage,0.01,True,cora,4,inf,4,raw,68.33087149187593,1.3663220088626318
d6525a86-563e-11ec-856c-70b5e8d11bce,mbm,sage,0.01,True,cora,16,0.5,8,raw,47.001477104874446,5.141617429837513
d6525acc-563e-11ec-afa0-70b5e8d11bce,mbm,sage,0.01,True,cora,4,inf,2,raw,66.602658788774,1.4036189069424054
d6525acc-563e-11ec-b4a2-70b5e8d11bce,mbm,sage,0.01,True,cora,2,3.0,2,raw,68.65583456425406,2.843796159527308
d6525b1c-563e-11ec-9a34-70b5e8d11bce,mbm,sage,0.01,True,cora,2,0.5,2,raw,40.05908419497784,4.173744460856714
d6525b1c-563e-11ec-a4ee-70b5e8d11bce,mbm,sage,0.01,True,cora,16,3.0,16,raw,65.56868537666175,1.6988552437223063
d6525b80-563e-11ec-b8da-70b5e8d11bce,mbm,sage,0.01,True,cora,2,inf,4,raw,68.19793205317578,1.1742983751846339
d6525b8a-563e-11ec-8dd4-70b5e8d11bce,mbm,sage,0.01,True,cora,16,inf,16,raw,67.74002954209749,1.4475627769571702
d6525bda-563e-11ec-ab6f-70b5e8d11bce,mbm,sage,0.01,True,cora,8,0.5,4,raw,44.50516986706056,4.41008124076809
d6525bda-563e-11ec-b0fa-70b5e8d11bce,mbm,sage,0.01,True,cora,2,1.0,8,raw,58.27178729689808,3.966580502215656
d6525c48-563e-11ec-8c82-70b5e8d11bce,mbm,sage,0.01,True,cora,0,0.5,0,raw,17.6218611521418,2.503877400295421
d6525c84-563e-11ec-89e5-70b5e8d11bce,mbm,sage,0.01,True,cora,0,1.0,4,raw,29.054652880354507,4.032865583456431
d6525c84-563e-11ec-ac52-70b5e8d11bce,mbm,sage,0.01,True,cora,8,2.0,8,raw,67.96159527326441,2.282680945347124
d6525cca-563e-11ec-ab1c-70b5e8d11bce,mbm,sage,0.01,True,cora,8,3.0,16,raw,68.16838995568685,2.2381831610044287
d6525cca-563e-11ec-b51b-70b5e8d11bce,mbm,sage,0.01,True,cora,16,0.5,16,raw,49.202363367799116,5.539512555391429
d6525d38-563e-11ec-8a30-70b5e8d11bce,mbm,sage,0.01,True,cora,4,0.5,4,raw,44.992614475627775,3.2592319054652847
d6525d60-563e-11ec-bfc2-70b5e8d11bce,mbm,sage,0.01,True,cora,8,1.0,2,raw,57.488921713441655,4.7121491875923205
d6525db0-563e-11ec-af3d-70b5e8d11bce,mbm,sage,0.01,True,cora,2,3.0,8,raw,70.22156573116692,1.7066100443131447
d6525db0-563e-11ec-b92f-70b5e8d11bce,mbm,sage,0.01,True,cora,8,2.0,4,raw,65.096011816839,1.994276218611521
d65290fa-563e-11ec-9281-70b5e8d11bce,mbm,sage,0.01,True,cora,4,inf,0,raw,46.82422451994091,1.9867060561299823
d65290fa-563e-11ec-9c47-70b5e8d11bce,mbm,sage,0.01,True,cora,8,3.0,8,raw,68.41949778434268,2.562961595273265
d652919a-563e-11ec-bb1f-70b5e8d11bce,mbm,sage,0.01,True,cora,0,0.5,4,raw,20.88626292466765,3.7008862629246675
d65291a4-563e-11ec-bb51-70b5e8d11bce,mbm,sage,0.01,True,cora,16,2.0,2,raw,57.400295420974885,2.6222304283604068
d65291b8-563e-11ec-94c2-70b5e8d11bce,mbm,sage,0.01,True,cora,0,1.0,16,raw,33.29394387001477,6.012555391432791
d652924e-563e-11ec-9a81-70b5e8d11bce,mbm,sage,0.01,True,cora,4,1.0,8,raw,59.143279172821266,3.7374446085672055
d652924e-563e-11ec-a699-70b5e8d11bce,mbm,sage,0.01,True,cora,4,inf,8,raw,70.33973412112259,2.1056129985228935
d652daf6-563e-11ec-83d2-70b5e8d11ed4,mbm,sage,0.01,True,cora,8,1.0,8,raw,63.13146233382571,2.9255908419497807
d652daf6-563e-11ec-9079-70b5e8d11ed4,mbm,sage,0.01,True,cora,0,inf,0,raw,53.08714918759232,2.496491875923194
d652daf6-563e-11ec-a9c4-70b5e8d11ed4,mbm,sage,0.01,True,cora,4,3.0,2,raw,66.38109305760709,2.681129985228953
d652daf6-563e-11ec-af9f-70b5e8d11ed4,mbm,sage,0.01,True,cora,8,0.5,2,raw,47.976366322008865,4.299113737075334
d652db78-563e-11ec-82d4-70b5e8d11ed4,mbm,sage,0.01,True,cora,16,1.0,0,raw,42.36336779911373,2.422821270310191
d652db82-563e-11ec-9bb7-70b5e8d11ed4,mbm,sage,0.01,True,cora,0,2.0,4,raw,42.274741506646976,2.400664697193502
d652db96-563e-11ec-9302-70b5e8d11ed4,mbm,sage,0.01,True,cora,0,0.5,2,raw,22.76218611521418,2.238552437223044
d652dba0-563e-11ec-b2f3-70b5e8d11ed4,mbm,sage,0.01,True,cora,4,2.0,0,raw,50.118168389955684,1.8541358936484507
d652dbd2-563e-11ec-84d4-70b5e8d11ed4,mbm,sage,0.01,True,cora,8,1.0,4,raw,61.37370753323487,2.518463810930566
d652dbdc-563e-11ec-94ec-70b5e8d11ed4,mbm,sage,0.01,True,cora,2,0.5,8,raw,44.99261447562777,5.34047267355983
d652dc2c-563e-11ec-93ce-70b5e8d11ed4,mbm,sage,0.01,True,cora,4,1.0,4,raw,60.635155096011815,2.6890694239290873
d652dc36-563e-11ec-a89e-70b5e8d11ed4,mbm,sage,0.01,True,cora,2,inf,16,raw,70.0,0.8495199409157976
d652dca4-563e-11ec-91c1-70b5e8d11ed4,mbm,sage,0.01,True,cora,16,inf,4,raw,63.17577548005909,1.861336779911376
d652dca4-563e-11ec-a60e-70b5e8d11ed4,mbm,sage,0.01,True,cora,0,inf,4,raw,73.16100443131462,1.9798744460856739
d652dcfe-563e-11ec-8ebe-70b5e8d11ed4,mbm,sage,0.01,True,cora,8,inf,0,raw,46.98670605612999,1.5960118168389918
d652dd26-563e-11ec-bc33-70b5e8d11ed4,mbm,sage,0.01,True,cora,2,2.0,0,raw,49.54209748892171,1.699039881831613
d652dd76-563e-11ec-bcc4-70b5e8d11ed4,mbm,sage,0.01,True,cora,2,0.5,16,raw,43.205317577548,2.9252215657311673
d652dd76-563e-11ec-be1e-70b5e8d11ed4,mbm,sage,0.01,True,cora,16,inf,8,raw,65.55391432791728,2.0533604135893633
d652ddda-563e-11ec-9e6e-70b5e8d11ed4,mbm,sage,0.01,True,cora,8,1.0,0,raw,43.16100443131462,1.7727104874446091
d652dde4-563e-11ec-844d-70b5e8d11ed4,mbm,sage,0.01,True,cora,2,3.0,16,raw,70.29542097488921,1.4481166912850796
d652dde4-563e-11ec-a736-70b5e8d11ed4,mbm,sage,0.01,True,cora,0,3.0,16,raw,55.74593796159527,4.439438700147708
d652de34-563e-11ec-882f-70b5e8d11ed4,mbm,sage,0.01,True,cora,4,1.0,0,raw,43.53028064992615,1.7138109305760736
d652de3e-563e-11ec-9e6e-70b5e8d11ed4,mbm,sage,0.01,True,cora,2,3.0,4,raw,69.46824224519942,1.0048005908419526
