version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,cmd
0,31.166912850812405,2bf03c68-563c-11ec-bc89-70b5e8d116c8,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,sage,16,0.5,0,2,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps 1 --forward_correction True --x_steps 0 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
1,30.87149187592319,2bf03c68-563c-11ec-bc89-70b5e8d116c8,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,sage,16,0.5,0,2,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps 1 --forward_correction True --x_steps 0 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
2,12.998522895125554,2bf03c68-563c-11ec-bc89-70b5e8d116c8,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,sage,16,0.5,0,2,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps 1 --forward_correction True --x_steps 0 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
3,33.825701624815366,2bf03c68-563c-11ec-bc89-70b5e8d116c8,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,sage,16,0.5,0,2,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps 1 --forward_correction True --x_steps 0 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
4,22.156573116691288,2bf03c68-563c-11ec-bc89-70b5e8d116c8,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,sage,16,0.5,0,2,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps 1 --forward_correction True --x_steps 0 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
5,36.92762186115214,2bf03c68-563c-11ec-bc89-70b5e8d116c8,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,sage,16,0.5,0,2,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps 1 --forward_correction True --x_steps 0 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
6,30.87149187592319,2bf03c68-563c-11ec-bc89-70b5e8d116c8,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,sage,16,0.5,0,2,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps 1 --forward_correction True --x_steps 0 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
7,30.428360413589367,2bf03c68-563c-11ec-bc89-70b5e8d116c8,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,sage,16,0.5,0,2,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps 1 --forward_correction True --x_steps 0 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
8,36.92762186115214,2bf03c68-563c-11ec-bc89-70b5e8d116c8,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,sage,16,0.5,0,2,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps 1 --forward_correction True --x_steps 0 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
9,36.336779911373704,2bf03c68-563c-11ec-bc89-70b5e8d116c8,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,sage,16,0.5,0,2,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps 1 --forward_correction True --x_steps 0 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
