version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,cmd
0,72.38848108413326,8e289c0c-567f-11ec-9629-70b5e8d1197c,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,inf,sage,16,0.75,2,0,True,adam,500,0.01,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset lastfm --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps inf --forward_correction True --x_steps 2 --y_steps 0 --learning_rate 0.01 --weight_decay 0.01 --dropout 0.75 -s 12345 -r 10 -o ./results
1,82.43929983060417,8e289c0c-567f-11ec-9629-70b5e8d1197c,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,inf,sage,16,0.75,2,0,True,adam,500,0.01,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset lastfm --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps inf --forward_correction True --x_steps 2 --y_steps 0 --learning_rate 0.01 --weight_decay 0.01 --dropout 0.75 -s 12345 -r 10 -o ./results
2,77.58328627893846,8e289c0c-567f-11ec-9629-70b5e8d1197c,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,inf,sage,16,0.75,2,0,True,adam,500,0.01,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset lastfm --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps inf --forward_correction True --x_steps 2 --y_steps 0 --learning_rate 0.01 --weight_decay 0.01 --dropout 0.75 -s 12345 -r 10 -o ./results
3,76.11518915866742,8e289c0c-567f-11ec-9629-70b5e8d1197c,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,inf,sage,16,0.75,2,0,True,adam,500,0.01,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset lastfm --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps inf --forward_correction True --x_steps 2 --y_steps 0 --learning_rate 0.01 --weight_decay 0.01 --dropout 0.75 -s 12345 -r 10 -o ./results
4,70.12987012987013,8e289c0c-567f-11ec-9629-70b5e8d1197c,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,inf,sage,16,0.75,2,0,True,adam,500,0.01,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset lastfm --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps inf --forward_correction True --x_steps 2 --y_steps 0 --learning_rate 0.01 --weight_decay 0.01 --dropout 0.75 -s 12345 -r 10 -o ./results
5,77.92207792207793,8e289c0c-567f-11ec-9629-70b5e8d1197c,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,inf,sage,16,0.75,2,0,True,adam,500,0.01,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset lastfm --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps inf --forward_correction True --x_steps 2 --y_steps 0 --learning_rate 0.01 --weight_decay 0.01 --dropout 0.75 -s 12345 -r 10 -o ./results
6,76.84923771880293,8e289c0c-567f-11ec-9629-70b5e8d1197c,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,inf,sage,16,0.75,2,0,True,adam,500,0.01,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset lastfm --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps inf --forward_correction True --x_steps 2 --y_steps 0 --learning_rate 0.01 --weight_decay 0.01 --dropout 0.75 -s 12345 -r 10 -o ./results
7,77.69621682665161,8e289c0c-567f-11ec-9629-70b5e8d1197c,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,inf,sage,16,0.75,2,0,True,adam,500,0.01,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset lastfm --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps inf --forward_correction True --x_steps 2 --y_steps 0 --learning_rate 0.01 --weight_decay 0.01 --dropout 0.75 -s 12345 -r 10 -o ./results
8,73.85657820440429,8e289c0c-567f-11ec-9629-70b5e8d1197c,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,inf,sage,16,0.75,2,0,True,adam,500,0.01,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset lastfm --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps inf --forward_correction True --x_steps 2 --y_steps 0 --learning_rate 0.01 --weight_decay 0.01 --dropout 0.75 -s 12345 -r 10 -o ./results
9,77.35742518351213,8e289c0c-567f-11ec-9629-70b5e8d1197c,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,inf,sage,16,0.75,2,0,True,adam,500,0.01,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset lastfm --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps inf --forward_correction True --x_steps 2 --y_steps 0 --learning_rate 0.01 --weight_decay 0.01 --dropout 0.75 -s 12345 -r 10 -o ./results
