version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,cmd
0,81.53618906942393,692a3164-540d-11ec-ad35-70b5e8d1347e,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,inf,2.0,gcn,16,0.75,0,4,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gcn --x_eps inf --y_eps 2 --forward_correction True --x_steps 0 --y_steps 4 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
1,78.43426883308715,692a3164-540d-11ec-ad35-70b5e8d1347e,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,inf,2.0,gcn,16,0.75,0,4,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gcn --x_eps inf --y_eps 2 --forward_correction True --x_steps 0 --y_steps 4 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
2,79.02511078286558,692a3164-540d-11ec-ad35-70b5e8d1347e,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,inf,2.0,gcn,16,0.75,0,4,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gcn --x_eps inf --y_eps 2 --forward_correction True --x_steps 0 --y_steps 4 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
3,79.4682422451994,692a3164-540d-11ec-ad35-70b5e8d1347e,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,inf,2.0,gcn,16,0.75,0,4,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gcn --x_eps inf --y_eps 2 --forward_correction True --x_steps 0 --y_steps 4 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
4,80.79763663220089,692a3164-540d-11ec-ad35-70b5e8d1347e,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,inf,2.0,gcn,16,0.75,0,4,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gcn --x_eps inf --y_eps 2 --forward_correction True --x_steps 0 --y_steps 4 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
5,83.89955686853766,692a3164-540d-11ec-ad35-70b5e8d1347e,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,inf,2.0,gcn,16,0.75,0,4,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gcn --x_eps inf --y_eps 2 --forward_correction True --x_steps 0 --y_steps 4 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
6,78.58197932053176,692a3164-540d-11ec-ad35-70b5e8d1347e,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,inf,2.0,gcn,16,0.75,0,4,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gcn --x_eps inf --y_eps 2 --forward_correction True --x_steps 0 --y_steps 4 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
7,81.53618906942393,692a3164-540d-11ec-ad35-70b5e8d1347e,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,inf,2.0,gcn,16,0.75,0,4,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gcn --x_eps inf --y_eps 2 --forward_correction True --x_steps 0 --y_steps 4 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
8,81.38847858197931,692a3164-540d-11ec-ad35-70b5e8d1347e,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,inf,2.0,gcn,16,0.75,0,4,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gcn --x_eps inf --y_eps 2 --forward_correction True --x_steps 0 --y_steps 4 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
9,81.53618906942393,692a3164-540d-11ec-ad35-70b5e8d1347e,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,inf,2.0,gcn,16,0.75,0,4,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gcn --x_eps inf --y_eps 2 --forward_correction True --x_steps 0 --y_steps 4 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
