Name,mechanism,model,x_eps,forward_correction,dataset,y_steps,y_eps,x_steps,feature,test/acc_mean,test/acc_ci
0dc0c3a6-56b5-11ec-8bf2-b02628eae770,mbm,sage,0.01,True,cora,8,0.5,16,raw,43.76661742983752,4.67577548005908
0dc0c3a6-56b5-11ec-9989-b02628eae770,mbm,sage,0.01,True,cora,8,3.0,4,raw,64.5642540620384,1.4625184638109268
0dd938fa-56b5-11ec-8301-b02628e94326,mbm,sage,0.01,True,cora,2,0.5,0,raw,22.008862629246675,2.2457533234859657
0dd93904-56b5-11ec-89b9-b02628e94326,mbm,sage,0.01,True,cora,4,2.0,16,raw,64.62333825701624,3.781573116691277
0de86d48-56b5-11ec-8496-b02628eac520,mbm,sage,0.01,True,cora,0,2.0,2,raw,39.83751846381093,2.230982274741514
0de86d48-56b5-11ec-ba5e-b02628eac520,mbm,sage,0.01,True,cora,4,0.5,2,raw,31.24076809453471,4.565731166912855
0dee19f0-56b5-11ec-ba0a-b02628ea8f8c,mbm,sage,0.01,True,cora,0,3.0,0,raw,40.339734121122596,1.949963072378143
17c1cb54-56b3-11ec-b8c8-7079909d9fb4,mbm,sage,0.01,True,cora,16,1.0,16,raw,57.60709010339734,4.882939438700159
17c1d702-56b3-11ec-b744-7079909da1f4,mbm,sage,0.01,True,cora,8,3.0,0,raw,49.40915805022156,1.7064254062038415
17c1d806-56b3-11ec-90f8-7079907d391b,mbm,sage,0.01,True,cora,2,inf,8,raw,64.50516986706056,2.2461225997045737
17c1da04-56b3-11ec-af10-7079909da1d2,mbm,sage,0.01,True,cora,2,inf,0,raw,42.73264401772526,1.7211964549483056
17c1daa4-56b3-11ec-a998-7079909d9dae,mbm,sage,0.01,True,cora,8,2.0,0,raw,49.09896602658789,1.7802806499261443
17c1df0e-56b3-11ec-a714-7079909e1a87,mbm,sage,0.01,True,cora,4,3.0,8,raw,69.63072378138848,1.3299483013293951
17c1e030-56b3-11ec-96bf-7079909da21a,mbm,sage,0.01,True,cora,4,0.5,8,raw,35.258493353028065,4.728212703101919
17c2cd9c-56b3-11ec-b542-7079909da22a,mbm,sage,0.01,True,cora,16,inf,0,raw,44.091580502215656,1.5075701624815387
17c31018-56b3-11ec-a3f6-7079909da006,mbm,sage,0.01,True,cora,2,1.0,0,raw,30.132939438700145,3.376477104874448
17c317b6-56b3-11ec-b635-7079909e1a3b,mbm,sage,0.01,True,cora,16,3.0,2,raw,56.48449039881832,2.666543574593799
470432d4-56b4-11ec-98ed-b02628eae770,mbm,sage,0.01,True,cora,2,1.0,16,raw,42.06794682422452,6.0566838995568695
47044292-56b4-11ec-a717-b02628eae770,mbm,sage,0.01,True,cora,0,inf,4,raw,70.28064992614476,1.543943870014786
47046330-56b4-11ec-acef-b02628e94326,mbm,sage,0.01,True,cora,16,3.0,4,raw,61.536189069423926,3.6927621861152176
470486d0-56b4-11ec-afca-b02628eac520,mbm,sage,0.01,True,cora,8,0.5,0,raw,32.20088626292467,2.822193500738555
4704ad36-56b4-11ec-8d18-b02628eac520,mbm,sage,0.01,True,cora,16,2.0,4,raw,58.67060561299852,3.1683899556868553
4704b8ee-56b4-11ec-bccc-b02628ea8f8c,mbm,sage,0.01,True,cora,0,inf,8,raw,71.87592319054653,1.6179837518463884
4704e102-56b4-11ec-9a4a-b02628ead4aa,mbm,sage,0.01,True,cora,8,1.0,0,raw,45.64254062038405,3.480059084194977
470518e8-56b4-11ec-8a56-b02628ead4aa,mbm,sage,0.01,True,cora,8,inf,2,raw,56.159527326440184,1.7653249630723806
4705266c-56b4-11ec-8fa2-b02628c5fc10,mbm,sage,0.01,True,cora,0,3.0,16,raw,46.129985228951256,5.322747415066466
4705556a-56b4-11ec-845e-b02628c5fc10,mbm,sage,0.01,True,cora,16,0.5,0,raw,33.42688330871492,3.2573855243722285
47055fb0-56b4-11ec-86cc-b02628ea5944,mbm,sage,0.01,True,cora,8,inf,0,raw,48.99556868537666,0.9529172821270322
47055fb0-56b4-11ec-b405-b02628ea5944,mbm,sage,0.01,True,cora,2,3.0,16,raw,58.18316100443131,3.028618906942391
5fd34390-56b4-11ec-ad8d-b02628c5fc10,mbm,sage,0.01,True,cora,2,2.0,0,raw,41.25553914327917,2.208456425406208
6eaa539a-56b4-11ec-8de5-b02628e94326,mbm,sage,0.01,True,cora,4,2.0,0,raw,46.36632200886263,2.518648449039887
6eaa73e8-56b4-11ec-aca8-b02628ea8f8c,mbm,sage,0.01,True,cora,0,0.5,2,raw,18.28655834564254,3.3020679468242236
6ebe29ba-56b4-11ec-b9bb-b02628eae770,mbm,sage,0.01,True,cora,2,0.5,16,raw,28.079763663220092,3.1763293943869986
6ebe3f36-56b4-11ec-9bae-b02628eae770,mbm,sage,0.01,True,cora,16,inf,8,raw,64.8301329394387,1.49944608567208
715df470-56b4-11ec-9f15-b02628c5fc10,mbm,sage,0.01,True,cora,2,0.5,8,raw,26.41063515509601,5.096381093057607
71a4e75e-56b4-11ec-a1e4-b02628ea5944,mbm,sage,0.01,True,cora,0,2.0,4,raw,40.54652880354505,4.155280649926141
71a4ffbe-56b4-11ec-9fd1-b02628ead4aa,mbm,sage,0.01,True,cora,0,0.5,8,raw,22.24519940915805,5.61613737075332
71a4ffd2-56b4-11ec-a87d-b02628eac520,mbm,sage,0.01,True,cora,4,1.0,4,raw,50.57607090103397,3.8707533234859675
71a51116-56b4-11ec-b80b-b02628ea5944,mbm,sage,0.01,True,cora,2,inf,16,raw,63.82570162481536,4.062407680945348
71a5172e-56b4-11ec-aeed-b02628ead4aa,mbm,sage,0.01,True,cora,16,1.0,0,raw,42.18611521418021,1.8984490398818359
71a534b6-56b4-11ec-a4c1-b02628eac520,mbm,sage,0.01,True,cora,8,1.0,4,raw,57.400295420974885,1.5291728212703113
7e8172e4-56b4-11ec-9525-b02628c5fc10,mbm,sage,0.01,True,cora,4,0.5,0,raw,26.91285081240768,2.7621861152141776
7ebcf850-56b4-11ec-8a9c-7079909da21a,mbm,sage,0.01,True,cora,16,inf,2,raw,52.274741506646976,2.1201994091580474
7ebd368a-56b4-11ec-87f9-7079909e1a3b,mbm,sage,0.01,True,cora,4,3.0,4,raw,64.903988183161,3.39050960118168
7ebd46c0-56b4-11ec-94f6-7079909d9fb4,mbm,sage,0.01,True,cora,4,1.0,16,raw,55.86410635155096,3.3018833087149204
7ebd90f8-56b4-11ec-90cd-7079909d9dae,mbm,sage,0.01,True,cora,0,1.0,8,raw,28.818316100443134,4.099335302806498
7ebea506-56b4-11ec-b602-7079909da22a,mbm,sage,0.01,True,cora,2,0.5,4,raw,23.249630723781387,5.163035450516988
7ebecebe-56b4-11ec-896d-7079909da1d2,mbm,sage,0.01,True,cora,8,2.0,16,raw,66.92762186115213,3.6560192023633604
7ebf7a8a-56b4-11ec-abfd-7079909e1a87,mbm,sage,0.01,True,cora,16,3.0,8,raw,66.08567208271788,2.438515509601185
7ec01d28-56b4-11ec-95d4-7079909da006,mbm,sage,0.01,True,cora,16,1.0,8,raw,58.21270310192024,1.7285819793205306
7ec08c0e-56b4-11ec-a150-7079909da1f4,mbm,sage,0.01,True,cora,0,1.0,2,raw,28.833087149187595,1.7359675036927626
8b638de0-56b3-11ec-8f72-b02628ea5944,mbm,sage,0.01,True,cora,8,1.0,2,raw,48.59675036927622,2.932422451994089
8b638dea-56b3-11ec-bf24-b02628ea5944,mbm,sage,0.01,True,cora,2,0.5,2,raw,21.86115214180207,2.770125553914326
8b639a92-56b3-11ec-a29f-b02628e94326,mbm,sage,0.01,True,cora,2,inf,2,raw,51.97932053175775,3.717319054652876
8b63b0b8-56b3-11ec-80ec-b02628ead4aa,mbm,sage,0.01,True,cora,2,2.0,16,raw,51.92023633677991,4.099704579025108
8b63bc48-56b3-11ec-9ac8-b02628ead4aa,mbm,sage,0.01,True,cora,2,1.0,4,raw,37.488921713441655,1.7740029542097453
8b63c9f4-56b3-11ec-8f1d-b02628c5fc10,mbm,sage,0.01,True,cora,0,1.0,4,raw,28.921713441654354,4.077548005908417
8b63c9fe-56b3-11ec-a38f-b02628c5fc10,mbm,sage,0.01,True,cora,8,inf,4,raw,62.73264401772526,2.932791728212699
