version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,cmd
0,27.474150664697195,06cf5778-4df6-11ec-a7e3-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,1.0,0.5,gat,16,0.5,2,8,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gat --x_eps 1 --y_eps 0.5 --forward_correction True --x_steps 2 --y_steps 8 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
1,42.39290989660266,06cf5778-4df6-11ec-a7e3-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,1.0,0.5,gat,16,0.5,2,8,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gat --x_eps 1 --y_eps 0.5 --forward_correction True --x_steps 2 --y_steps 8 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
2,38.25701624815362,06cf5778-4df6-11ec-a7e3-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,1.0,0.5,gat,16,0.5,2,8,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gat --x_eps 1 --y_eps 0.5 --forward_correction True --x_steps 2 --y_steps 8 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
3,48.89217134416543,06cf5778-4df6-11ec-a7e3-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,1.0,0.5,gat,16,0.5,2,8,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gat --x_eps 1 --y_eps 0.5 --forward_correction True --x_steps 2 --y_steps 8 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
4,30.576070901033976,06cf5778-4df6-11ec-a7e3-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,1.0,0.5,gat,16,0.5,2,8,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gat --x_eps 1 --y_eps 0.5 --forward_correction True --x_steps 2 --y_steps 8 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
5,21.56573116691285,06cf5778-4df6-11ec-a7e3-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,1.0,0.5,gat,16,0.5,2,8,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gat --x_eps 1 --y_eps 0.5 --forward_correction True --x_steps 2 --y_steps 8 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
6,40.02954209748892,06cf5778-4df6-11ec-a7e3-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,1.0,0.5,gat,16,0.5,2,8,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gat --x_eps 1 --y_eps 0.5 --forward_correction True --x_steps 2 --y_steps 8 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
7,37.9615952732644,06cf5778-4df6-11ec-a7e3-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,1.0,0.5,gat,16,0.5,2,8,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gat --x_eps 1 --y_eps 0.5 --forward_correction True --x_steps 2 --y_steps 8 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
8,49.039881831610046,06cf5778-4df6-11ec-a7e3-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,1.0,0.5,gat,16,0.5,2,8,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gat --x_eps 1 --y_eps 0.5 --forward_correction True --x_steps 2 --y_steps 8 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
9,33.97341211225997,06cf5778-4df6-11ec-a7e3-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,1.0,0.5,gat,16,0.5,2,8,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gat --x_eps 1 --y_eps 0.5 --forward_correction True --x_steps 2 --y_steps 8 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
