version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,cmd
0,68.38995568685377,203db01e-4db1-11ec-b001-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,1.0,1.0,sage,16,0.5,16,2,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 1 --y_eps 1 --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
1,67.50369276218612,203db01e-4db1-11ec-b001-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,1.0,1.0,sage,16,0.5,16,2,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 1 --y_eps 1 --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
2,72.3781388478582,203db01e-4db1-11ec-b001-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,1.0,1.0,sage,16,0.5,16,2,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 1 --y_eps 1 --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
3,67.94682422451994,203db01e-4db1-11ec-b001-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,1.0,1.0,sage,16,0.5,16,2,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 1 --y_eps 1 --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
4,64.84490398818316,203db01e-4db1-11ec-b001-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,1.0,1.0,sage,16,0.5,16,2,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 1 --y_eps 1 --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
5,62.0384047267356,203db01e-4db1-11ec-b001-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,1.0,1.0,sage,16,0.5,16,2,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 1 --y_eps 1 --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
6,64.40177252584934,203db01e-4db1-11ec-b001-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,1.0,1.0,sage,16,0.5,16,2,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 1 --y_eps 1 --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
7,66.02658788774004,203db01e-4db1-11ec-b001-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,1.0,1.0,sage,16,0.5,16,2,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 1 --y_eps 1 --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
8,66.32200886262925,203db01e-4db1-11ec-b001-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,1.0,1.0,sage,16,0.5,16,2,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 1 --y_eps 1 --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
9,66.17429837518463,203db01e-4db1-11ec-b001-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,1.0,1.0,sage,16,0.5,16,2,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 1 --y_eps 1 --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
