version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,cmd
0,73.85524372230428,82cb87c4-4dc0-11ec-b701-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,sage,16,0.5,2,0,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 3 --y_eps 3 --forward_correction True --x_steps 2 --y_steps 0 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
1,73.26440177252584,82cb87c4-4dc0-11ec-b701-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,sage,16,0.5,2,0,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 3 --y_eps 3 --forward_correction True --x_steps 2 --y_steps 0 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
2,76.36632200886262,82cb87c4-4dc0-11ec-b701-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,sage,16,0.5,2,0,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 3 --y_eps 3 --forward_correction True --x_steps 2 --y_steps 0 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
3,74.59379615952733,82cb87c4-4dc0-11ec-b701-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,sage,16,0.5,2,0,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 3 --y_eps 3 --forward_correction True --x_steps 2 --y_steps 0 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
4,75.7754800590842,82cb87c4-4dc0-11ec-b701-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,sage,16,0.5,2,0,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 3 --y_eps 3 --forward_correction True --x_steps 2 --y_steps 0 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
5,73.55982274741507,82cb87c4-4dc0-11ec-b701-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,sage,16,0.5,2,0,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 3 --y_eps 3 --forward_correction True --x_steps 2 --y_steps 0 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
6,74.59379615952733,82cb87c4-4dc0-11ec-b701-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,sage,16,0.5,2,0,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 3 --y_eps 3 --forward_correction True --x_steps 2 --y_steps 0 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
7,74.44608567208272,82cb87c4-4dc0-11ec-b701-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,sage,16,0.5,2,0,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 3 --y_eps 3 --forward_correction True --x_steps 2 --y_steps 0 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
8,74.74150664697193,82cb87c4-4dc0-11ec-b701-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,sage,16,0.5,2,0,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 3 --y_eps 3 --forward_correction True --x_steps 2 --y_steps 0 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
9,75.7754800590842,82cb87c4-4dc0-11ec-b701-7079909da22a,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,3.0,sage,16,0.5,2,0,True,adam,500,0.01,0.001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 3 --y_eps 3 --forward_correction True --x_steps 2 --y_steps 0 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
