version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,cmd
0,50.649350649350644,78ed5b26-56dd-11ec-bea4-b02628e94326,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,0.5,sage,16,0.75,4,2,True,adam,500,0.001,0.0001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset lastfm --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps 0.5 --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
1,47.26143421795596,78ed5b26-56dd-11ec-bea4-b02628e94326,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,0.5,sage,16,0.75,4,2,True,adam,500,0.001,0.0001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset lastfm --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps 0.5 --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
2,49.06832298136646,78ed5b26-56dd-11ec-bea4-b02628e94326,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,0.5,sage,16,0.75,4,2,True,adam,500,0.001,0.0001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset lastfm --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps 0.5 --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
3,58.723884810841334,78ed5b26-56dd-11ec-bea4-b02628e94326,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,0.5,sage,16,0.75,4,2,True,adam,500,0.001,0.0001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset lastfm --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps 0.5 --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
4,43.873517786561266,78ed5b26-56dd-11ec-bea4-b02628e94326,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,0.5,sage,16,0.75,4,2,True,adam,500,0.001,0.0001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset lastfm --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps 0.5 --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
5,56.35234330886505,78ed5b26-56dd-11ec-bea4-b02628e94326,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,0.5,sage,16,0.75,4,2,True,adam,500,0.001,0.0001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset lastfm --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps 0.5 --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
6,54.71485036702428,78ed5b26-56dd-11ec-bea4-b02628e94326,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,0.5,sage,16,0.75,4,2,True,adam,500,0.001,0.0001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset lastfm --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps 0.5 --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
7,68.66177300959909,78ed5b26-56dd-11ec-bea4-b02628e94326,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,0.5,sage,16,0.75,4,2,True,adam,500,0.001,0.0001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset lastfm --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps 0.5 --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
8,42.51835121400339,78ed5b26-56dd-11ec-bea4-b02628e94326,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,0.5,sage,16,0.75,4,2,True,adam,500,0.001,0.0001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset lastfm --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps 0.5 --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
9,42.01016374929418,78ed5b26-56dd-11ec-bea4-b02628e94326,lastfm,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,0.5,sage,16,0.75,4,2,True,adam,500,0.001,0.0001,0,cuda,12345,10,./results,False,individual,LPGNN,main.py --dataset lastfm --feature raw --mechanism mbm --model sage --x_eps 0.01 --y_eps 0.5 --forward_correction True --x_steps 4 --y_steps 2 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
