version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,cmd
0,36.04135893648449,feea3a1e-55b1-11ec-b6e7-b8cb29afea3f,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gat,16,0.0,10,10,True,adam,500,0.001,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gat --x_eps 0.01 --y_eps 1 --x_steps 10 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0 --y_steps 10 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
1,44.01772525849335,feea3a1e-55b1-11ec-b6e7-b8cb29afea3f,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gat,16,0.0,10,10,True,adam,500,0.001,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gat --x_eps 0.01 --y_eps 1 --x_steps 10 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0 --y_steps 10 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
2,29.246676514032494,feea3a1e-55b1-11ec-b6e7-b8cb29afea3f,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gat,16,0.0,10,10,True,adam,500,0.001,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gat --x_eps 0.01 --y_eps 1 --x_steps 10 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0 --y_steps 10 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
3,43.279172821270315,feea3a1e-55b1-11ec-b6e7-b8cb29afea3f,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gat,16,0.0,10,10,True,adam,500,0.001,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gat --x_eps 0.01 --y_eps 1 --x_steps 10 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0 --y_steps 10 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
4,41.506646971935005,feea3a1e-55b1-11ec-b6e7-b8cb29afea3f,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gat,16,0.0,10,10,True,adam,500,0.001,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gat --x_eps 0.01 --y_eps 1 --x_steps 10 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0 --y_steps 10 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
5,37.813884785819795,feea3a1e-55b1-11ec-b6e7-b8cb29afea3f,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gat,16,0.0,10,10,True,adam,500,0.001,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gat --x_eps 0.01 --y_eps 1 --x_steps 10 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0 --y_steps 10 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
6,49.48301329394387,feea3a1e-55b1-11ec-b6e7-b8cb29afea3f,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gat,16,0.0,10,10,True,adam,500,0.001,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gat --x_eps 0.01 --y_eps 1 --x_steps 10 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0 --y_steps 10 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
7,41.94977843426883,feea3a1e-55b1-11ec-b6e7-b8cb29afea3f,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gat,16,0.0,10,10,True,adam,500,0.001,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gat --x_eps 0.01 --y_eps 1 --x_steps 10 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0 --y_steps 10 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
8,33.23485967503693,feea3a1e-55b1-11ec-b6e7-b8cb29afea3f,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gat,16,0.0,10,10,True,adam,500,0.001,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gat --x_eps 0.01 --y_eps 1 --x_steps 10 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0 --y_steps 10 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
9,50.66469719350074,feea3a1e-55b1-11ec-b6e7-b8cb29afea3f,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gat,16,0.0,10,10,True,adam,500,0.001,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gat --x_eps 0.01 --y_eps 1 --x_steps 10 --learning_rate 0.001 --weight_decay 0.0001 --dropout 0 --y_steps 10 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
