version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,cmd
0,62.481536189069416,a3666f8c-55b6-11ec-aad1-70b5e8d11de4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,15,15,True,adam,500,0.0001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 15 --learning_rate 0.0001 --weight_decay 0.01 --dropout 0.25 --y_steps 15 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
1,61.29985228951256,a3666f8c-55b6-11ec-aad1-70b5e8d11de4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,15,15,True,adam,500,0.0001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 15 --learning_rate 0.0001 --weight_decay 0.01 --dropout 0.25 --y_steps 15 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
2,51.8463810930576,a3666f8c-55b6-11ec-aad1-70b5e8d11de4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,15,15,True,adam,500,0.0001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 15 --learning_rate 0.0001 --weight_decay 0.01 --dropout 0.25 --y_steps 15 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
3,58.78877400295421,a3666f8c-55b6-11ec-aad1-70b5e8d11de4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,15,15,True,adam,500,0.0001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 15 --learning_rate 0.0001 --weight_decay 0.01 --dropout 0.25 --y_steps 15 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
4,66.32200886262925,a3666f8c-55b6-11ec-aad1-70b5e8d11de4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,15,15,True,adam,500,0.0001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 15 --learning_rate 0.0001 --weight_decay 0.01 --dropout 0.25 --y_steps 15 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
5,53.32348596750369,a3666f8c-55b6-11ec-aad1-70b5e8d11de4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,15,15,True,adam,500,0.0001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 15 --learning_rate 0.0001 --weight_decay 0.01 --dropout 0.25 --y_steps 15 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
6,60.26587887740029,a3666f8c-55b6-11ec-aad1-70b5e8d11de4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,15,15,True,adam,500,0.0001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 15 --learning_rate 0.0001 --weight_decay 0.01 --dropout 0.25 --y_steps 15 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
7,61.89069423929099,a3666f8c-55b6-11ec-aad1-70b5e8d11de4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,15,15,True,adam,500,0.0001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 15 --learning_rate 0.0001 --weight_decay 0.01 --dropout 0.25 --y_steps 15 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
8,60.856720827178734,a3666f8c-55b6-11ec-aad1-70b5e8d11de4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,15,15,True,adam,500,0.0001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 15 --learning_rate 0.0001 --weight_decay 0.01 --dropout 0.25 --y_steps 15 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
9,58.78877400295421,a3666f8c-55b6-11ec-aad1-70b5e8d11de4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,15,15,True,adam,500,0.0001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 15 --learning_rate 0.0001 --weight_decay 0.01 --dropout 0.25 --y_steps 15 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
