version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,cmd
0,67.79911373707533,00c0c2da-55b8-11ec-9df7-b8cb29adb029,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,7,7,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 7 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 --y_steps 7 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
1,64.99261447562778,00c0c2da-55b8-11ec-9df7-b8cb29adb029,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,7,7,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 7 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 --y_steps 7 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
2,60.26587887740029,00c0c2da-55b8-11ec-9df7-b8cb29adb029,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,7,7,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 7 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 --y_steps 7 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
3,66.91285081240767,00c0c2da-55b8-11ec-9df7-b8cb29adb029,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,7,7,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 7 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 --y_steps 7 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
4,62.481536189069416,00c0c2da-55b8-11ec-9df7-b8cb29adb029,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,7,7,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 7 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 --y_steps 7 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
5,68.83308714918759,00c0c2da-55b8-11ec-9df7-b8cb29adb029,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,7,7,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 7 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 --y_steps 7 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
6,68.09453471196456,00c0c2da-55b8-11ec-9df7-b8cb29adb029,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,7,7,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 7 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 --y_steps 7 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
7,66.61742983751846,00c0c2da-55b8-11ec-9df7-b8cb29adb029,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,7,7,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 7 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 --y_steps 7 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
8,68.68537666174298,00c0c2da-55b8-11ec-9df7-b8cb29adb029,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,7,7,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 7 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 --y_steps 7 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
9,60.4135893648449,00c0c2da-55b8-11ec-9df7-b8cb29adb029,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,7,7,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 7 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 --y_steps 7 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
