version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,cmd
0,79.76366322008862,9f7c0a50-540b-11ec-87ca-70b5e8d137f2,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,2.0,3.0,sage,16,0.5,4,8,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 2 --y_eps 3 --forward_correction True --x_steps 4 --y_steps 8 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
1,79.1728212703102,9f7c0a50-540b-11ec-87ca-70b5e8d137f2,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,2.0,3.0,sage,16,0.5,4,8,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 2 --y_eps 3 --forward_correction True --x_steps 4 --y_steps 8 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
2,77.84342688330872,9f7c0a50-540b-11ec-87ca-70b5e8d137f2,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,2.0,3.0,sage,16,0.5,4,8,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 2 --y_eps 3 --forward_correction True --x_steps 4 --y_steps 8 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
3,78.58197932053176,9f7c0a50-540b-11ec-87ca-70b5e8d137f2,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,2.0,3.0,sage,16,0.5,4,8,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 2 --y_eps 3 --forward_correction True --x_steps 4 --y_steps 8 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
4,79.02511078286558,9f7c0a50-540b-11ec-87ca-70b5e8d137f2,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,2.0,3.0,sage,16,0.5,4,8,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 2 --y_eps 3 --forward_correction True --x_steps 4 --y_steps 8 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
5,79.3205317577548,9f7c0a50-540b-11ec-87ca-70b5e8d137f2,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,2.0,3.0,sage,16,0.5,4,8,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 2 --y_eps 3 --forward_correction True --x_steps 4 --y_steps 8 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
6,79.3205317577548,9f7c0a50-540b-11ec-87ca-70b5e8d137f2,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,2.0,3.0,sage,16,0.5,4,8,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 2 --y_eps 3 --forward_correction True --x_steps 4 --y_steps 8 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
7,77.99113737075332,9f7c0a50-540b-11ec-87ca-70b5e8d137f2,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,2.0,3.0,sage,16,0.5,4,8,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 2 --y_eps 3 --forward_correction True --x_steps 4 --y_steps 8 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
8,78.28655834564255,9f7c0a50-540b-11ec-87ca-70b5e8d137f2,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,2.0,3.0,sage,16,0.5,4,8,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 2 --y_eps 3 --forward_correction True --x_steps 4 --y_steps 8 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
9,78.58197932053176,9f7c0a50-540b-11ec-87ca-70b5e8d137f2,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,2.0,3.0,sage,16,0.5,4,8,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 2 --y_eps 3 --forward_correction True --x_steps 4 --y_steps 8 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
