version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,cmd
0,53.17577548005909,a4090440-55b6-11ec-ac09-70b5e8d137e4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,13,13,True,adam,500,0.01,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 13 --learning_rate 0.01 --weight_decay 0 --dropout 0.25 --y_steps 13 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
1,62.0384047267356,a4090440-55b6-11ec-ac09-70b5e8d137e4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,13,13,True,adam,500,0.01,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 13 --learning_rate 0.01 --weight_decay 0 --dropout 0.25 --y_steps 13 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
2,48.89217134416543,a4090440-55b6-11ec-ac09-70b5e8d137e4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,13,13,True,adam,500,0.01,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 13 --learning_rate 0.01 --weight_decay 0 --dropout 0.25 --y_steps 13 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
3,60.4135893648449,a4090440-55b6-11ec-ac09-70b5e8d137e4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,13,13,True,adam,500,0.01,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 13 --learning_rate 0.01 --weight_decay 0 --dropout 0.25 --y_steps 13 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
4,58.93648449039882,a4090440-55b6-11ec-ac09-70b5e8d137e4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,13,13,True,adam,500,0.01,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 13 --learning_rate 0.01 --weight_decay 0 --dropout 0.25 --y_steps 13 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
5,62.62924667651403,a4090440-55b6-11ec-ac09-70b5e8d137e4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,13,13,True,adam,500,0.01,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 13 --learning_rate 0.01 --weight_decay 0 --dropout 0.25 --y_steps 13 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
6,55.53914327917282,a4090440-55b6-11ec-ac09-70b5e8d137e4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,13,13,True,adam,500,0.01,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 13 --learning_rate 0.01 --weight_decay 0 --dropout 0.25 --y_steps 13 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
7,64.10635155096011,a4090440-55b6-11ec-ac09-70b5e8d137e4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,13,13,True,adam,500,0.01,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 13 --learning_rate 0.01 --weight_decay 0 --dropout 0.25 --y_steps 13 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
8,58.93648449039882,a4090440-55b6-11ec-ac09-70b5e8d137e4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,13,13,True,adam,500,0.01,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 13 --learning_rate 0.01 --weight_decay 0 --dropout 0.25 --y_steps 13 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
9,62.186115214180205,a4090440-55b6-11ec-ac09-70b5e8d137e4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,13,13,True,adam,500,0.01,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 13 --learning_rate 0.01 --weight_decay 0 --dropout 0.25 --y_steps 13 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
