version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,cmd
0,64.84490398818316,03e62c92-55b9-11ec-b16b-b8cb29acf870,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,14,14,True,adam,500,0.001,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 14 --learning_rate 0.001 --weight_decay 0.001 --dropout 0.75 --y_steps 14 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
1,64.54948301329394,03e62c92-55b9-11ec-b16b-b8cb29acf870,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,14,14,True,adam,500,0.001,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 14 --learning_rate 0.001 --weight_decay 0.001 --dropout 0.75 --y_steps 14 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
2,62.33382570162481,03e62c92-55b9-11ec-b16b-b8cb29acf870,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,14,14,True,adam,500,0.001,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 14 --learning_rate 0.001 --weight_decay 0.001 --dropout 0.75 --y_steps 14 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
3,61.74298375184638,03e62c92-55b9-11ec-b16b-b8cb29acf870,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,14,14,True,adam,500,0.001,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 14 --learning_rate 0.001 --weight_decay 0.001 --dropout 0.75 --y_steps 14 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
4,66.32200886262925,03e62c92-55b9-11ec-b16b-b8cb29acf870,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,14,14,True,adam,500,0.001,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 14 --learning_rate 0.001 --weight_decay 0.001 --dropout 0.75 --y_steps 14 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
5,66.17429837518463,03e62c92-55b9-11ec-b16b-b8cb29acf870,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,14,14,True,adam,500,0.001,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 14 --learning_rate 0.001 --weight_decay 0.001 --dropout 0.75 --y_steps 14 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
6,70.01477104874446,03e62c92-55b9-11ec-b16b-b8cb29acf870,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,14,14,True,adam,500,0.001,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 14 --learning_rate 0.001 --weight_decay 0.001 --dropout 0.75 --y_steps 14 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
7,68.98079763663219,03e62c92-55b9-11ec-b16b-b8cb29acf870,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,14,14,True,adam,500,0.001,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 14 --learning_rate 0.001 --weight_decay 0.001 --dropout 0.75 --y_steps 14 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
8,61.595273264401776,03e62c92-55b9-11ec-b16b-b8cb29acf870,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,14,14,True,adam,500,0.001,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 14 --learning_rate 0.001 --weight_decay 0.001 --dropout 0.75 --y_steps 14 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
9,61.89069423929099,03e62c92-55b9-11ec-b16b-b8cb29acf870,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,14,14,True,adam,500,0.001,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 14 --learning_rate 0.001 --weight_decay 0.001 --dropout 0.75 --y_steps 14 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
