version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,cmd
0,64.40177252584934,05be8e74-55b9-11ec-bddb-70b5e8d116c4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,12,12,True,adam,500,0.0001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 12 --learning_rate 0.0001 --weight_decay 0 --dropout 0.25 --y_steps 12 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
1,63.22008862629247,05be8e74-55b9-11ec-bddb-70b5e8d116c4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,12,12,True,adam,500,0.0001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 12 --learning_rate 0.0001 --weight_decay 0 --dropout 0.25 --y_steps 12 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
2,49.63072378138848,05be8e74-55b9-11ec-bddb-70b5e8d116c4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,12,12,True,adam,500,0.0001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 12 --learning_rate 0.0001 --weight_decay 0 --dropout 0.25 --y_steps 12 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
3,56.27769571639586,05be8e74-55b9-11ec-bddb-70b5e8d116c4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,12,12,True,adam,500,0.0001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 12 --learning_rate 0.0001 --weight_decay 0 --dropout 0.25 --y_steps 12 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
4,65.4357459379616,05be8e74-55b9-11ec-bddb-70b5e8d116c4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,12,12,True,adam,500,0.0001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 12 --learning_rate 0.0001 --weight_decay 0 --dropout 0.25 --y_steps 12 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
5,59.23190546528804,05be8e74-55b9-11ec-bddb-70b5e8d116c4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,12,12,True,adam,500,0.0001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 12 --learning_rate 0.0001 --weight_decay 0 --dropout 0.25 --y_steps 12 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
6,58.78877400295421,05be8e74-55b9-11ec-bddb-70b5e8d116c4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,12,12,True,adam,500,0.0001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 12 --learning_rate 0.0001 --weight_decay 0 --dropout 0.25 --y_steps 12 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
7,59.822747415066466,05be8e74-55b9-11ec-bddb-70b5e8d116c4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,12,12,True,adam,500,0.0001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 12 --learning_rate 0.0001 --weight_decay 0 --dropout 0.25 --y_steps 12 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
8,63.07237813884786,05be8e74-55b9-11ec-bddb-70b5e8d116c4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,12,12,True,adam,500,0.0001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 12 --learning_rate 0.0001 --weight_decay 0 --dropout 0.25 --y_steps 12 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
9,62.481536189069416,05be8e74-55b9-11ec-bddb-70b5e8d116c4,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.25,12,12,True,adam,500,0.0001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 12 --learning_rate 0.0001 --weight_decay 0 --dropout 0.25 --y_steps 12 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
