version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,cmd
0,59.822747415066466,7a8e617e-55ba-11ec-b1af-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,5,5,True,adam,500,0.001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 5 --learning_rate 0.001 --weight_decay 0 --dropout 0.75 --y_steps 5 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
1,58.93648449039882,7a8e617e-55ba-11ec-b1af-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,5,5,True,adam,500,0.001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 5 --learning_rate 0.001 --weight_decay 0 --dropout 0.75 --y_steps 5 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
2,59.08419497784343,7a8e617e-55ba-11ec-b1af-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,5,5,True,adam,500,0.001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 5 --learning_rate 0.001 --weight_decay 0 --dropout 0.75 --y_steps 5 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
3,58.93648449039882,7a8e617e-55ba-11ec-b1af-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,5,5,True,adam,500,0.001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 5 --learning_rate 0.001 --weight_decay 0 --dropout 0.75 --y_steps 5 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
4,60.26587887740029,7a8e617e-55ba-11ec-b1af-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,5,5,True,adam,500,0.001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 5 --learning_rate 0.001 --weight_decay 0 --dropout 0.75 --y_steps 5 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
5,55.83456425406204,7a8e617e-55ba-11ec-b1af-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,5,5,True,adam,500,0.001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 5 --learning_rate 0.001 --weight_decay 0 --dropout 0.75 --y_steps 5 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
6,61.595273264401776,7a8e617e-55ba-11ec-b1af-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,5,5,True,adam,500,0.001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 5 --learning_rate 0.001 --weight_decay 0 --dropout 0.75 --y_steps 5 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
7,62.33382570162481,7a8e617e-55ba-11ec-b1af-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,5,5,True,adam,500,0.001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 5 --learning_rate 0.001 --weight_decay 0 --dropout 0.75 --y_steps 5 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
8,59.527326440177255,7a8e617e-55ba-11ec-b1af-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,5,5,True,adam,500,0.001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 5 --learning_rate 0.001 --weight_decay 0 --dropout 0.75 --y_steps 5 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
9,47.26735598227474,7a8e617e-55ba-11ec-b1af-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,5,5,True,adam,500,0.001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 5 --learning_rate 0.001 --weight_decay 0 --dropout 0.75 --y_steps 5 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
