version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,cmd
0,76.80945347119645,45ca0424-540d-11ec-a27c-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,2.0,sage,16,0.5,16,2,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 3 --y_eps 2 --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
1,75.48005908419498,45ca0424-540d-11ec-a27c-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,2.0,sage,16,0.5,16,2,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 3 --y_eps 2 --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
2,72.82127031019202,45ca0424-540d-11ec-a27c-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,2.0,sage,16,0.5,16,2,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 3 --y_eps 2 --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
3,75.9231905465288,45ca0424-540d-11ec-a27c-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,2.0,sage,16,0.5,16,2,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 3 --y_eps 2 --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
4,76.95716395864106,45ca0424-540d-11ec-a27c-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,2.0,sage,16,0.5,16,2,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 3 --y_eps 2 --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
5,75.7754800590842,45ca0424-540d-11ec-a27c-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,2.0,sage,16,0.5,16,2,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 3 --y_eps 2 --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
6,70.31019202363368,45ca0424-540d-11ec-a27c-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,2.0,sage,16,0.5,16,2,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 3 --y_eps 2 --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
7,77.5480059084195,45ca0424-540d-11ec-a27c-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,2.0,sage,16,0.5,16,2,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 3 --y_eps 2 --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
8,74.1506646971935,45ca0424-540d-11ec-a27c-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,2.0,sage,16,0.5,16,2,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 3 --y_eps 2 --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
9,74.59379615952733,45ca0424-540d-11ec-a27c-70b5e8efe420,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,3.0,2.0,sage,16,0.5,16,2,True,adam,500,0.01,0.001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model sage --x_eps 3 --y_eps 2 --forward_correction True --x_steps 16 --y_steps 2 --learning_rate 0.01 --weight_decay 0.001 --dropout 0.5 -s 12345 -r 10 -o ./results
