version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,cmd
0,39.14327917282127,6897b1c2-540d-11ec-af2b-70b5e8d13fbc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,inf,0.5,gat,16,0.75,4,8,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gat --x_eps inf --y_eps 0.5 --forward_correction True --x_steps 4 --y_steps 8 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
1,44.16543574593796,6897b1c2-540d-11ec-af2b-70b5e8d13fbc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,inf,0.5,gat,16,0.75,4,8,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gat --x_eps inf --y_eps 0.5 --forward_correction True --x_steps 4 --y_steps 8 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
2,46.08567208271787,6897b1c2-540d-11ec-af2b-70b5e8d13fbc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,inf,0.5,gat,16,0.75,4,8,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gat --x_eps inf --y_eps 0.5 --forward_correction True --x_steps 4 --y_steps 8 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
3,37.370753323485964,6897b1c2-540d-11ec-af2b-70b5e8d13fbc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,inf,0.5,gat,16,0.75,4,8,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gat --x_eps inf --y_eps 0.5 --forward_correction True --x_steps 4 --y_steps 8 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
4,47.11964549483013,6897b1c2-540d-11ec-af2b-70b5e8d13fbc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,inf,0.5,gat,16,0.75,4,8,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gat --x_eps inf --y_eps 0.5 --forward_correction True --x_steps 4 --y_steps 8 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
5,39.29098966026588,6897b1c2-540d-11ec-af2b-70b5e8d13fbc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,inf,0.5,gat,16,0.75,4,8,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gat --x_eps inf --y_eps 0.5 --forward_correction True --x_steps 4 --y_steps 8 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
6,53.76661742983752,6897b1c2-540d-11ec-af2b-70b5e8d13fbc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,inf,0.5,gat,16,0.75,4,8,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gat --x_eps inf --y_eps 0.5 --forward_correction True --x_steps 4 --y_steps 8 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
7,49.48301329394387,6897b1c2-540d-11ec-af2b-70b5e8d13fbc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,inf,0.5,gat,16,0.75,4,8,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gat --x_eps inf --y_eps 0.5 --forward_correction True --x_steps 4 --y_steps 8 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
8,40.472673559822745,6897b1c2-540d-11ec-af2b-70b5e8d13fbc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,inf,0.5,gat,16,0.75,4,8,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gat --x_eps inf --y_eps 0.5 --forward_correction True --x_steps 4 --y_steps 8 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
9,40.62038404726736,6897b1c2-540d-11ec-af2b-70b5e8d13fbc,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,inf,0.5,gat,16,0.75,4,8,True,adam,500,0.01,0.0001,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --dataset cora --feature raw --mechanism mbm --model gat --x_eps inf --y_eps 0.5 --forward_correction True --x_steps 4 --y_steps 8 --learning_rate 0.01 --weight_decay 0.0001 --dropout 0.75 -s 12345 -r 10 -o ./results
